date,time,devname,srcip,dstip,srcport,dstport,protocol,action,duration,bytes_sent,bytes_received,service,logid,policyid,type,subtype,level,msg
2025-08-05,14:54:43,FG60D-FW01,192.168.1.187,198.51.100.23,5621,445,6,deny,35,2299,8054,HTTP,5819997640,1,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,15:37:19,FG60D-FW01,192.168.1.30,185.199.110.153,16816,3389,6,accept,29,3068,4169,HTTP,4405199794,2,traffic,forward,notice,HTTP session allowed
2025-08-05,13:53:14,FG60D-FW01,192.168.1.109,104.16.249.249,61579,53,17,accept,10,2515,2815,HTTPS,3109628788,4,traffic,forward,notice,HTTPS connection established
2025-08-05,14:11:45,FG60D-FW01,192.168.1.62,104.16.249.249,19767,3389,17,accept,2,3252,7730,HTTPS,1399268640,0,traffic,forward,notice,HTTPS connection established
2025-08-05,14:30:44,FG60D-FW01,192.168.1.91,185.199.110.153,6120,53,6,accept,5,1426,9404,HTTP,7120165321,5,traffic,forward,notice,HTTP session allowed
2025-08-05,14:56:15,FG60D-FW01,192.168.1.12,8.8.8.8,6869,21,17,accept,47,1793,3629,dns,1464222582,5,traffic,forward,notice,DNS query allowed
2025-08-05,15:03:07,FG60D-FW01,192.168.1.59,10.0.0.255,18892,443,6,accept,51,4526,239,DHCP,2187985714,1,traffic,forward,notice,DHCP request processed
2025-08-05,15:02:23,FG60D-FW01,192.168.1.102,198.51.100.23,63645,443,6,deny,55,1652,349,HTTP,1893019091,2,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:37:07,FG60D-FW01,192.168.1.105,104.16.249.249,54166,3389,6,accept,27,3706,8406,HTTPS,9151503745,5,traffic,forward,notice,HTTPS connection established
2025-08-05,14:40:08,FG60D-FW01,192.168.1.222,10.0.0.255,33532,445,17,accept,46,295,1026,DHCP,8582916814,5,traffic,forward,notice,DHCP request processed
2025-08-05,14:08:36,FG60D-FW01,192.168.1.163,45.33.32.156,48556,445,6,deny,60,2861,4293,SMB,4115334905,0,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:30:44,FG60D-FW01,192.168.1.112,185.199.110.153,6982,3389,17,accept,50,4643,6587,HTTP,2272254904,5,traffic,forward,notice,HTTP session allowed
2025-08-05,14:18:17,FG60D-FW01,192.168.1.2,104.16.249.249,51341,80,6,accept,21,3546,2811,HTTPS,3483089515,5,traffic,forward,notice,HTTPS connection established
2025-08-05,15:39:47,FG60D-FW01,192.168.1.194,185.199.110.153,28277,443,6,accept,8,2267,9903,HTTP,2230593708,1,traffic,forward,notice,HTTP session allowed
2025-08-05,14:28:35,FG60D-FW01,192.168.1.151,8.8.8.8,40370,80,17,accept,18,2770,5928,dns,2986986676,1,traffic,forward,notice,DNS query allowed
2025-08-05,14:32:00,FG60D-FW01,192.168.1.104,185.199.110.153,22739,3389,17,accept,7,819,9393,HTTP,3241220175,0,traffic,forward,notice,HTTP session allowed
2025-08-05,13:49:52,FG60D-FW01,192.168.1.226,185.199.110.153,7675,3389,17,accept,45,3710,7057,HTTP,2570327961,2,traffic,forward,notice,HTTP session allowed
2025-08-05,13:59:13,FG60D-FW01,192.168.1.197,104.16.249.249,63290,445,17,accept,40,274,5372,HTTPS,2702130575,3,traffic,forward,notice,HTTPS connection established
2025-08-05,15:41:02,FG60D-FW01,192.168.1.16,8.8.8.8,38026,443,6,accept,7,850,391,dns,4836088212,1,traffic,forward,notice,DNS query allowed
2025-08-05,14:19:35,FG60D-FW01,192.168.1.182,104.16.249.249,21663,80,6,accept,16,4010,9992,HTTPS,1430285914,5,traffic,forward,notice,HTTPS connection established
2025-08-05,15:35:41,FG60D-FW01,192.168.1.123,45.33.32.156,1839,445,6,deny,17,1914,8497,SMB,2722780096,4,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:01:16,FG60D-FW01,192.168.1.121,8.8.8.8,64287,22,6,accept,35,3572,9738,dns,2388546407,3,traffic,forward,notice,DNS query allowed
2025-08-05,14:05:51,FG60D-FW01,192.168.1.203,185.199.110.153,1897,53,6,accept,9,1124,7962,HTTP,1319965789,0,traffic,forward,notice,HTTP session allowed
2025-08-05,14:59:49,FG60D-FW01,192.168.1.98,10.0.0.255,57413,443,17,accept,2,1218,1180,DHCP,3368758500,4,traffic,forward,notice,DHCP request processed
2025-08-05,15:17:44,FG60D-FW01,192.168.1.236,8.8.8.8,62169,443,17,accept,21,2967,8396,dns,2370379014,5,traffic,forward,notice,DNS query allowed
2025-08-05,15:25:07,FG60D-FW01,192.168.1.28,185.199.110.153,39483,21,17,accept,6,2363,9572,HTTP,2786345135,5,traffic,forward,notice,HTTP session allowed
2025-08-05,15:35:37,FG60D-FW01,192.168.1.249,185.199.110.153,14474,445,17,accept,24,4221,7318,HTTP,1491857874,4,traffic,forward,notice,HTTP session allowed
2025-08-05,13:51:23,FG60D-FW01,192.168.1.233,45.33.32.156,32283,80,17,deny,17,3251,2142,SMB,2122986186,3,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:02:16,FG60D-FW01,192.168.1.73,10.0.0.255,25160,21,6,accept,16,3123,6520,DHCP,1312731750,3,traffic,forward,notice,DHCP request processed
2025-08-05,14:15:12,FG60D-FW01,192.168.1.209,10.0.0.255,39042,3389,6,accept,32,3854,5847,DHCP,9067981141,3,traffic,forward,notice,DHCP request processed
2025-08-05,14:39:11,FG60D-FW01,192.168.1.99,8.8.8.8,36917,53,6,accept,14,754,5874,dns,1657629012,1,traffic,forward,notice,DNS query allowed
2025-08-05,15:44:36,FG60D-FW01,192.168.1.21,45.33.32.156,17686,22,6,deny,9,3688,5609,SMB,2684020719,2,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:40:42,FG60D-FW01,192.168.1.31,8.8.8.8,41349,22,17,accept,13,4377,1543,dns,1574551949,3,traffic,forward,notice,DNS query allowed
2025-08-05,14:24:11,FG60D-FW01,192.168.1.191,104.16.249.249,36983,445,6,accept,54,2667,5985,HTTPS,8026200882,3,traffic,forward,notice,HTTPS connection established
2025-08-05,15:11:43,FG60D-FW01,192.168.1.86,45.33.32.156,48825,80,6,deny,2,2566,4601,SMB,1472696325,5,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,15:23:26,FG60D-FW01,192.168.1.184,10.0.0.255,63831,445,17,accept,58,1502,2222,DHCP,3212752766,4,traffic,forward,notice,DHCP request processed
2025-08-05,14:20:44,FG60D-FW01,192.168.1.161,8.8.8.8,14605,53,6,accept,19,1596,5461,dns,1793565496,3,traffic,forward,notice,DNS query allowed
2025-08-05,13:59:40,FG60D-FW01,192.168.1.251,45.33.32.156,30320,443,6,deny,12,3454,6206,SMB,2237351726,2,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,13:50:13,FG60D-FW01,192.168.1.42,10.0.0.255,50406,21,6,accept,24,1616,3421,DHCP,3400962081,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:31:36,FG60D-FW01,192.168.1.20,8.8.8.8,54714,445,17,accept,58,710,9030,dns,2280464565,4,traffic,forward,notice,DNS query allowed
2025-08-05,15:13:32,FG60D-FW01,192.168.1.91,45.33.32.156,6471,445,17,deny,32,2005,3786,SMB,1642679367,5,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:47:07,FG60D-FW01,192.168.1.125,45.33.32.156,22036,3389,17,deny,6,3744,5054,SMB,8717328540,3,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:23:52,FG60D-FW01,192.168.1.56,104.16.249.249,8786,21,6,accept,3,3572,2052,HTTPS,2750470547,4,traffic,forward,notice,HTTPS connection established
2025-08-05,15:04:57,FG60D-FW01,192.168.1.3,185.199.110.153,48072,443,6,accept,23,481,6187,HTTP,3385840701,1,traffic,forward,notice,HTTP session allowed
2025-08-05,13:54:49,FG60D-FW01,192.168.1.234,10.0.0.255,62788,22,6,accept,54,241,4228,DHCP,6386788855,3,traffic,forward,notice,DHCP request processed
2025-08-05,15:21:33,FG60D-FW01,192.168.1.52,8.8.8.8,44057,80,17,accept,5,1911,6417,dns,1885867800,0,traffic,forward,notice,DNS query allowed
2025-08-05,13:59:41,FG60D-FW01,192.168.1.209,185.199.110.153,54428,22,6,accept,52,3974,1947,HTTP,3315663734,4,traffic,forward,notice,HTTP session allowed
2025-08-05,14:17:06,FG60D-FW01,192.168.1.4,104.16.249.249,62826,22,6,accept,50,4088,8516,HTTPS,8919789540,1,traffic,forward,notice,HTTPS connection established
2025-08-05,13:46:08,FG60D-FW01,192.168.1.251,8.8.8.8,55170,80,6,accept,36,4557,8327,dns,1646263310,4,traffic,forward,notice,DNS query allowed
2025-08-05,15:33:06,FG60D-FW01,192.168.1.183,45.33.32.156,36332,21,17,deny,26,984,6272,SMB,1572460286,1,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,15:08:29,FG60D-FW01,192.168.1.206,104.16.249.249,59711,80,6,accept,33,4585,3869,HTTPS,6707669268,4,traffic,forward,notice,HTTPS connection established
2025-08-05,14:06:52,FG60D-FW01,192.168.1.170,45.33.32.156,32866,22,17,deny,15,751,1796,SMB,1967105583,3,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,15:16:21,FG60D-FW01,192.168.1.37,104.16.249.249,41066,443,17,accept,7,4597,1857,HTTPS,9604752569,2,traffic,forward,notice,HTTPS connection established
2025-08-05,15:11:22,FG60D-FW01,192.168.1.151,10.0.0.255,40624,443,17,accept,23,2134,9206,DHCP,3286087660,2,traffic,forward,notice,DHCP request processed
2025-08-05,15:38:52,FG60D-FW01,192.168.1.213,10.0.0.255,51193,3389,6,accept,16,4388,2631,DHCP,7572927636,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:01:17,FG60D-FW01,192.168.1.191,104.16.249.249,24844,445,6,accept,0,1528,538,HTTPS,3039290080,0,traffic,forward,notice,HTTPS connection established
2025-08-05,15:09:57,FG60D-FW01,192.168.1.81,8.8.8.8,47352,53,17,accept,45,2818,7446,dns,1918628730,4,traffic,forward,notice,DNS query allowed
2025-08-05,15:34:13,FG60D-FW01,192.168.1.3,8.8.8.8,50535,22,6,accept,19,2827,8179,dns,1175682626,0,traffic,forward,notice,DNS query allowed
2025-08-05,14:56:58,FG60D-FW01,192.168.1.69,104.16.249.249,33124,443,17,accept,51,1887,6294,HTTPS,1871717468,1,traffic,forward,notice,HTTPS connection established
2025-08-05,14:17:47,FG60D-FW01,192.168.1.226,8.8.8.8,13251,3389,6,accept,41,2156,6510,dns,4752722022,0,traffic,forward,notice,DNS query allowed
2025-08-05,14:59:38,FG60D-FW01,192.168.1.99,10.0.0.255,62685,21,6,accept,43,486,2665,DHCP,2236409011,1,traffic,forward,notice,DHCP request processed
2025-08-05,14:18:49,FG60D-FW01,192.168.1.55,10.0.0.255,1700,80,17,accept,20,2651,7757,DHCP,4608729599,2,traffic,forward,notice,DHCP request processed
2025-08-05,14:40:42,FG60D-FW01,192.168.1.219,104.16.249.249,59618,443,17,accept,54,150,1366,HTTPS,2839805836,0,traffic,forward,notice,HTTPS connection established
2025-08-05,15:29:42,FG60D-FW01,192.168.1.143,45.33.32.156,21143,443,17,deny,35,796,6263,SMB,2187043232,0,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:27:05,FG60D-FW01,192.168.1.198,104.16.249.249,38636,443,17,accept,35,1373,1389,HTTPS,1133094804,4,traffic,forward,notice,HTTPS connection established
2025-08-05,14:16:53,FG60D-FW01,192.168.1.113,8.8.8.8,20080,80,17,accept,5,1226,6323,dns,1692384874,1,traffic,forward,notice,DNS query allowed
2025-08-05,15:23:19,FG60D-FW01,192.168.1.45,10.0.0.255,54256,3389,17,accept,5,1535,3143,DHCP,2987551790,2,traffic,forward,notice,DHCP request processed
2025-08-05,14:09:41,FG60D-FW01,192.168.1.141,8.8.8.8,56688,80,6,accept,13,3042,249,dns,3383801787,0,traffic,forward,notice,DNS query allowed
2025-08-05,13:59:40,FG60D-FW01,192.168.1.11,185.199.110.153,42635,445,6,accept,57,3195,2937,HTTP,1373206403,0,traffic,forward,notice,HTTP session allowed
2025-08-05,15:36:08,FG60D-FW01,192.168.1.219,104.16.249.249,61513,53,6,accept,5,4633,8084,HTTPS,6158641591,1,traffic,forward,notice,HTTPS connection established
2025-08-05,15:39:58,FG60D-FW01,192.168.1.167,8.8.8.8,41284,3389,6,accept,24,1475,5705,dns,3246941301,1,traffic,forward,notice,DNS query allowed
2025-08-05,14:04:54,FG60D-FW01,192.168.1.160,185.199.110.153,54981,3389,6,accept,28,3756,446,HTTP,3082031228,2,traffic,forward,notice,HTTP session allowed
2025-08-05,14:09:45,FG60D-FW01,192.168.1.112,10.0.0.255,2868,21,17,accept,34,2323,8754,DHCP,1353787345,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:44:48,FG60D-FW01,192.168.1.252,104.16.249.249,50533,53,17,accept,53,3364,8363,HTTPS,4064165523,5,traffic,forward,notice,HTTPS connection established
2025-08-05,14:13:43,FG60D-FW01,192.168.1.234,104.16.249.249,39445,443,6,accept,31,2418,5355,HTTPS,1343356864,0,traffic,forward,notice,HTTPS connection established
2025-08-05,15:23:26,FG60D-FW01,192.168.1.59,185.199.110.153,63844,3389,17,accept,55,950,826,HTTP,1575082477,5,traffic,forward,notice,HTTP session allowed
2025-08-05,14:26:04,FG60D-FW01,192.168.1.123,10.0.0.255,31100,445,6,accept,58,4543,6685,DHCP,9689655064,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:31:31,FG60D-FW01,192.168.1.185,8.8.8.8,1154,3389,6,accept,49,1998,6839,dns,1336283211,4,traffic,forward,notice,DNS query allowed
2025-08-05,15:38:00,FG60D-FW01,192.168.1.87,185.199.110.153,40443,80,6,accept,50,2936,2299,HTTP,9716634355,5,traffic,forward,notice,HTTP session allowed
2025-08-05,14:36:54,FG60D-FW01,192.168.1.86,104.16.249.249,23744,3389,6,accept,2,3223,8582,HTTPS,5784920126,3,traffic,forward,notice,HTTPS connection established
2025-08-05,14:07:57,FG60D-FW01,192.168.1.107,8.8.8.8,49498,21,17,accept,36,1820,9481,dns,2366709131,5,traffic,forward,notice,DNS query allowed
2025-08-05,13:47:59,FG60D-FW01,192.168.1.202,8.8.8.8,45087,22,6,accept,1,3178,6907,dns,2234784822,3,traffic,forward,notice,DNS query allowed
2025-08-05,14:26:47,FG60D-FW01,192.168.1.181,104.16.249.249,38012,53,17,accept,40,4642,2579,HTTPS,1209367036,0,traffic,forward,notice,HTTPS connection established
2025-08-05,15:44:27,FG60D-FW01,192.168.1.111,10.0.0.255,32270,53,17,accept,5,2516,3508,DHCP,2170972446,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:53:50,FG60D-FW01,192.168.1.83,10.0.0.255,21290,3389,17,accept,23,1464,9021,DHCP,1590647768,4,traffic,forward,notice,DHCP request processed
2025-08-05,14:45:12,FG60D-FW01,192.168.1.155,10.0.0.255,33479,3389,17,accept,29,481,167,DHCP,3057318731,1,traffic,forward,notice,DHCP request processed
2025-08-05,14:50:20,FG60D-FW01,192.168.1.147,185.199.110.153,43689,53,6,accept,27,2387,1556,HTTP,2432702478,5,traffic,forward,notice,HTTP session allowed
2025-08-05,14:04:14,FG60D-FW01,192.168.1.38,10.0.0.255,9054,53,6,accept,39,4707,9762,DHCP,1719440105,4,traffic,forward,notice,DHCP request processed
2025-08-05,14:59:02,FG60D-FW01,192.168.1.30,185.220.101.4,64402,22,17,deny,8,1904,7579,HTTPS,2972796620,4,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,15:21:25,FG60D-FW01,192.168.1.7,8.8.8.8,50243,80,6,accept,4,2906,1947,dns,4054438540,4,traffic,forward,notice,DNS query allowed
2025-08-05,14:00:33,FG60D-FW01,192.168.1.224,185.220.101.4,53502,3389,6,deny,23,2138,888,SMB,8242370617,2,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:42:53,FG60D-FW01,192.168.1.162,185.199.110.153,38034,3389,6,accept,14,4799,3445,HTTP,1191333580,1,traffic,forward,notice,HTTP session allowed
2025-08-05,14:04:35,FG60D-FW01,192.168.1.165,198.51.100.23,50547,22,17,deny,22,756,7330,DHCP,3318823340,0,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:37:50,FG60D-FW01,192.168.1.90,10.0.0.255,10869,21,6,accept,55,257,710,DHCP,7012078857,3,traffic,forward,notice,DHCP request processed
2025-08-05,13:56:12,FG60D-FW01,192.168.1.229,10.0.0.255,51539,80,6,accept,2,495,5098,DHCP,1955069836,3,traffic,forward,notice,DHCP request processed
2025-08-05,15:30:59,FG60D-FW01,192.168.1.68,104.16.249.249,49775,53,6,accept,28,2027,4162,HTTPS,2487237925,2,traffic,forward,notice,HTTPS connection established
2025-08-05,15:02:02,FG60D-FW01,192.168.1.245,10.0.0.255,5182,22,6,accept,39,2803,6907,DHCP,1405692742,5,traffic,forward,notice,DHCP request processed
2025-08-05,15:20:45,FG60D-FW01,192.168.1.219,10.0.0.255,34341,445,6,accept,38,1515,805,DHCP,3101760331,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:34:27,FG60D-FW01,192.168.1.221,10.0.0.255,16526,53,6,accept,54,272,636,DHCP,2427150427,4,traffic,forward,notice,DHCP request processed
2025-08-05,14:20:26,FG60D-FW01,192.168.1.226,10.0.0.255,6883,80,17,accept,58,3005,1023,DHCP,8198237394,5,traffic,forward,notice,DHCP request processed
2025-08-05,14:40:00,FG60D-FW01,192.168.1.37,185.199.110.153,28676,21,6,accept,15,4783,1012,HTTP,8335684343,4,traffic,forward,notice,HTTP session allowed
2025-08-05,15:35:01,FG60D-FW01,192.168.1.77,10.0.0.255,45915,3389,6,accept,17,3481,3001,DHCP,1679734149,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:06:30,FG60D-FW01,192.168.1.236,8.8.8.8,29456,22,6,accept,14,1475,2800,dns,2375527303,2,traffic,forward,notice,DNS query allowed
2025-08-05,14:00:04,FG60D-FW01,192.168.1.158,185.199.110.153,38364,21,6,accept,16,17,6209,HTTP,2016914828,3,traffic,forward,notice,HTTP session allowed
2025-08-05,13:53:18,FG60D-FW01,192.168.1.231,185.199.110.153,63593,53,6,accept,14,1138,5148,HTTP,1864274736,2,traffic,forward,notice,HTTP session allowed
2025-08-05,14:14:29,FG60D-FW01,192.168.1.82,185.199.110.153,28480,3389,17,accept,27,839,711,HTTP,2146392310,3,traffic,forward,notice,HTTP session allowed
2025-08-05,15:31:46,FG60D-FW01,192.168.1.97,45.33.32.156,64788,80,17,deny,60,3171,5116,SMB,2052157910,3,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:53:46,FG60D-FW01,192.168.1.50,45.33.32.156,64154,80,17,deny,31,1041,2417,SMB,2726737709,1,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:56:31,FG60D-FW01,192.168.1.159,8.8.8.8,2640,22,17,accept,55,1411,418,dns,1187082519,3,traffic,forward,notice,DNS query allowed
2025-08-05,14:17:13,FG60D-FW01,192.168.1.25,8.8.8.8,16627,3389,17,accept,52,671,6942,dns,2027987051,2,traffic,forward,notice,DNS query allowed
2025-08-05,13:54:04,FG60D-FW01,192.168.1.142,8.8.8.8,27154,22,6,accept,54,3306,4632,dns,1062577962,2,traffic,forward,notice,DNS query allowed
2025-08-05,15:29:19,FG60D-FW01,192.168.1.80,185.220.101.4,41459,443,17,deny,40,4835,6495,dns,3058815960,4,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:04:01,FG60D-FW01,192.168.1.200,8.8.8.8,2071,22,17,accept,56,680,544,dns,3312912627,4,traffic,forward,notice,DNS query allowed
2025-08-05,13:56:44,FG60D-FW01,192.168.1.64,8.8.8.8,19289,22,6,accept,5,2222,4755,dns,2997798877,3,traffic,forward,notice,DNS query allowed
2025-08-05,13:52:50,FG60D-FW01,192.168.1.96,10.0.0.255,8130,21,17,accept,14,1534,5288,DHCP,1173461221,3,traffic,forward,notice,DHCP request processed
2025-08-05,14:33:58,FG60D-FW01,192.168.1.124,10.0.0.255,63522,21,6,accept,39,2525,5178,DHCP,3036341923,0,traffic,forward,notice,DHCP request processed
2025-08-05,14:14:55,FG60D-FW01,192.168.1.185,104.16.249.249,41454,443,17,accept,59,1025,714,HTTPS,6775781189,1,traffic,forward,notice,HTTPS connection established
2025-08-05,15:07:40,FG60D-FW01,192.168.1.152,45.33.32.156,62325,21,17,deny,58,1912,1549,SMB,1349273623,0,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,13:55:43,FG60D-FW01,192.168.1.126,10.0.0.255,10191,21,17,accept,28,1507,6852,DHCP,7522411744,3,traffic,forward,notice,DHCP request processed
2025-08-05,14:19:37,FG60D-FW01,192.168.1.75,185.199.110.153,32190,445,17,accept,43,2106,9330,HTTP,8102181887,2,traffic,forward,notice,HTTP session allowed
2025-08-05,15:16:07,FG60D-FW01,192.168.1.128,104.16.249.249,61592,445,17,accept,30,4553,3839,HTTPS,2252934266,1,traffic,forward,notice,HTTPS connection established
2025-08-05,15:28:59,FG60D-FW01,192.168.1.5,8.8.8.8,23897,443,6,accept,8,1823,5177,dns,4044866444,2,traffic,forward,notice,DNS query allowed
2025-08-05,14:56:02,FG60D-FW01,192.168.1.133,10.0.0.255,23139,443,17,accept,38,1415,5789,DHCP,5193636675,5,traffic,forward,notice,DHCP request processed
2025-08-05,15:20:39,FG60D-FW01,192.168.1.32,10.0.0.255,30602,53,17,accept,51,2887,3731,DHCP,2854929546,4,traffic,forward,notice,DHCP request processed
2025-08-05,15:21:04,FG60D-FW01,192.168.1.32,8.8.8.8,22431,53,17,accept,43,2898,4709,dns,1435274886,1,traffic,forward,notice,DNS query allowed
2025-08-05,13:55:40,FG60D-FW01,192.168.1.189,185.199.110.153,65535,22,17,accept,6,2692,1992,HTTP,2176091924,3,traffic,forward,notice,HTTP session allowed
2025-08-05,14:50:30,FG60D-FW01,192.168.1.130,10.0.0.255,15838,445,17,accept,44,3217,997,DHCP,3247660523,2,traffic,forward,notice,DHCP request processed
2025-08-05,15:04:42,FG60D-FW01,192.168.1.149,45.33.32.156,62470,21,6,deny,34,3807,3611,SMB,2225468064,1,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,15:05:34,FG60D-FW01,192.168.1.99,8.8.8.8,42876,22,6,accept,18,3700,2030,dns,2457458507,2,traffic,forward,notice,DNS query allowed
2025-08-05,13:54:19,FG60D-FW01,192.168.1.75,8.8.8.8,25739,3389,17,accept,37,2353,1310,dns,2941415250,5,traffic,forward,notice,DNS query allowed
2025-08-05,15:10:23,FG60D-FW01,192.168.1.3,185.199.110.153,5823,443,17,accept,54,4006,8168,HTTP,2736038168,2,traffic,forward,notice,HTTP session allowed
2025-08-05,14:42:48,FG60D-FW01,192.168.1.63,104.16.249.249,9867,22,17,accept,55,2340,6102,HTTPS,2630329417,2,traffic,forward,notice,HTTPS connection established
2025-08-05,15:34:30,FG60D-FW01,192.168.1.179,203.0.113.7,17551,443,17,deny,34,2096,6405,DHCP,3274918894,1,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,13:58:13,FG60D-FW01,192.168.1.48,10.0.0.255,62734,22,6,accept,10,3513,4501,DHCP,5281731090,1,traffic,forward,notice,DHCP request processed
2025-08-05,15:17:11,FG60D-FW01,192.168.1.163,8.8.8.8,41824,21,6,accept,56,1152,5963,dns,8884481624,0,traffic,forward,notice,DNS query allowed
2025-08-05,14:41:15,FG60D-FW01,192.168.1.88,8.8.8.8,17462,53,6,accept,12,822,7641,dns,4512160251,3,traffic,forward,notice,DNS query allowed
2025-08-05,14:49:09,FG60D-FW01,192.168.1.7,10.0.0.255,64873,3389,17,accept,5,4629,2624,DHCP,2785417328,1,traffic,forward,notice,DHCP request processed
2025-08-05,15:08:43,FG60D-FW01,192.168.1.39,8.8.8.8,38483,445,17,accept,41,2532,7112,dns,3726497818,0,traffic,forward,notice,DNS query allowed
2025-08-05,14:47:22,FG60D-FW01,192.168.1.187,185.199.110.153,50288,3389,6,accept,57,1881,8587,HTTP,2612809148,0,traffic,forward,notice,HTTP session allowed
2025-08-05,15:10:22,FG60D-FW01,192.168.1.127,45.33.32.156,29550,445,17,deny,6,2476,3746,SMB,1437565507,3,utm,webfilter,warning,Access to restricted site blocked
2025-08-05,14:11:09,FG60D-FW01,192.168.1.219,185.220.101.4,38649,3389,17,deny,3,521,6361,HTTP,3139272707,3,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:52:02,FG60D-FW01,192.168.1.205,8.8.8.8,20361,443,6,accept,26,4180,1987,dns,9772536349,2,traffic,forward,notice,DNS query allowed
2025-08-05,14:46:32,FG60D-FW01,192.168.1.50,198.51.100.23,17331,3389,17,deny,12,3210,7442,HTTPS,1972822233,0,utm,anomaly,alert,Suspicious traffic blocked
2025-08-05,14:36:47,FG60D-FW01,192.168.1.31,185.199.110.153,65314,443,17,accept,44,351,9151,HTTP,4071331856,5,traffic,forward,notice,HTTP session allowed
2025-08-05,15:28:37,FG60D-FW01,192.168.1.7,104.16.249.249,32015,445,6,accept,44,699,6246,HTTPS,7911621432,4,traffic,forward,notice,HTTPS connection established
